1602170760000 ms,"\@DaydreamLily I would have thought so""",0,1
1602149400000 ms,@dazzleme18 yup. You def do deserve it. Congrats on the award!,1,1
1602166440000 ms,@brianfriedman @la30retrop  New to this twittin thing but glad to see my baby having a wonderful time!!  Enjoy your dinner baby!! Muah,1,1
1602114000000 ms,@davidxkeller nope! that's like two hours from me booo and i tried to text you from aim but it didn't work? i don't have unlimited,0,0
1602105600000 ms,@davidptdf i wish i could go  you guys have to come to Puerto Rico  love youu.,0,1
1602104760000 ms,"\@davidmneilson I love love love that show. I mean""",1,1
1602125160000 ms,@BreeSymone I agree.... Especial the first 10 seconds!!,1,1
1602168000000 ms,@dbs_sticky Holy crap! Hope you guys are ok. Both my mum and my bro have hit deer in their cars. It doesn't sound like a nice experience.,0,0
1602146520000 ms,@BrentO ok great thanks. You are a plethora of knowledge  thanks again,1,1
1602125640000 ms,@breezyballababe Bahaha...i mean Aww,1,1
1602094680000 ms,@davidfowl have to use browser don't c it in apps,1,1
1602160440000 ms,"\@dbarefoot @lacouvee - Hey folks""",1,1
1602161160000 ms,@DBDclothing let me know when the clothes drop... I will put it on the site,1,1
1602098880000 ms,@davidseymour how will you ever survive the flight?,1,0
1602121680000 ms,@breedimetria I'm only 115,0,1
1602107520000 ms,@DavidSmith01  jk yo,1,1
1602103320000 ms,@davidleibrandt good to know you had fun,1,1
1602112080000 ms,@DaVincisBlogLog Glad to see you are back up and running too. Whew!,1,1
1602138600000 ms,@day_b  Don't blame you.  Never been but hear it's beautiful - have a great time!,1,1
1602105120000 ms,@DavidOlinger I see we had the same thought process. I have now linked us up.  Pardon the pun.,0,1
1602159000000 ms,"\@DawnWehbey like the &quot;tap &amp; bitch!&quot; for real. It is hilarious""",1,1
1602138240000 ms,@DaxOCallaghan NOOOOOOOO  REALLY?  ((((((...   poor dax!,0,0
1602173520000 ms,@BrianLockwood pretty sick but can't say i am into these skate moves - keep it clean - noticed a cpl of rodeo flips in maldives WCS -,0,0
1602124440000 ms,@DawnMarieH Excellent!  You got a name for him yet? Don't forget to twitpic him.,1,1
1602125760000 ms,@breezybee97 you dont miss me!,0,0
1602089160000 ms,"\@BraveMaiden Yeah""",1,1
1602160560000 ms,"\@dbarnhart I'm a #pfc girl first &amp; foremost""",1,1
1602161520000 ms,@DBESS340 oh ok ths good! Glad to hear that,1,1
1602121560000 ms,@breedersatp thanks for a great weekend!! Highlight was defo Wire and Shellac,1,1
1602104400000 ms,@davidmcdonagh yes I have several hives and I'm connecting them to twitter,0,1
1602162000000 ms,"\@dbickley I have tons 2 do""",1,1
1602159720000 ms,@DaxYorke are you laughing at me?   p.s. my name has two e's,1,0
1602095280000 ms,"\@davidgilray I loved working in the boarding kennel.  I spoiled those dogs so badly""",0,1
1602138360000 ms,@DaxOCallaghan thats bad.,1,0
1602162720000 ms,"\@Brian_Blank They were very politically active""",1,1
1602100080000 ms,"\@davidjosman""",1,1
1602126600000 ms,@bremonique is incredibly sick today....grey goose is not ur friend.,0,0
1602139560000 ms,"\@daybreak1012 Aw""",1,1
1602159240000 ms,"\@dawnweslept she's a little navajo res dog. mostly heeler""",0,1
1602132720000 ms,@DawnRichard we know u luv us  we love u too.... but u need to come back home!!!,1,0
1602127440000 ms,@dawnomite we will have a third.  Friday I really considered adopting a 6 mo old grl and 15 mo boy. 4 ages 2 and under now that is nuts!,1,1
1602115440000 ms,@davismitchell pretty much!,1,1
1602100560000 ms,@DavidKirlew Went to Indigo (book store) she made a craft and I browsed then we had iced coffee and chocolate milk together at Starbucks,0,1
1602143640000 ms,@DayleRobyn You must let us know what the magazine's are called so we can check out your work,1,1
1602142680000 ms,@daydreamerping You guys drinking?  And you're on Twitter?,1,1
1602106680000 ms,@davidryanmusic mine wasnt so good...really bad..but anyways how was yours?? im sure you had  fun,0,0
1602169440000 ms,@dcalleja that's true. i'm really only interested in sony's announcements. nintendo's dead to me,0,0
1602120240000 ms,"\@dawizonline no""",0,0
